"year","cgHeadId","cgPlaId","startDateEarly","startDateLate","endDateEarly","endDateLate","note"
2011,2011000959,5298,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011000960,5299,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011000961,5299,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011000963,5303,"2011-07-26","2011-07-30","2011-08-05","2011-08-05",
2011,2011000962,5303,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011000964,5303,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011000965,5304,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011000966,5314,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011000967,5339,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011000968,5342,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011000969,5342,"2011-07-19","2011-07-19","2011-07-31","2011-07-31",
2011,2011000970,5342,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011000971,5344,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011000972,5361,"2011-07-18","2011-07-18","2011-07-26","2011-07-30","[pos changed from 917.5 to 918 gkk 7May2012]"
2011,2011000973,1322,"2011-07-18","2011-07-18","2011-08-01","2011-08-04",
2011,2011000979,292,"2011-07-18","2011-07-18","2011-07-25","2011-07-25",
2011,2011000980,292,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011000981,285,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011000982,285,"2011-07-13","2011-07-13","2011-07-20","2011-07-24",
2011,2011000983,285,"2011-07-12","2011-07-12","2011-07-20","2011-07-24",
2011,2011000984,282,"2011-07-14","2011-07-18","2011-07-14","2011-07-18",
2011,2011000986,281,"2011-07-18","2011-07-18","2011-07-20","2011-07-24",
2011,2011000985,281,"2011-07-18","2011-07-18","2011-07-20","2011-07-24",
2011,2011000987,281,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011000988,279,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011000990,279,"2011-07-13","2011-07-13","2011-07-20","2011-07-24",
2011,2011000989,279,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011000993,278,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011000992,278,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011000991,278,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011000994,277,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001001,276,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011000997,276,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001000,276,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001002,276,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011000999,276,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011000998,276,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001010,1185,"2011-07-24","2011-07-24","2011-07-31","2011-07-31",
2011,2011001011,1185,"2011-07-25","2011-07-25","2011-08-05","2011-08-05",
2011,2011001012,845,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001013,668,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
