"year","cgHeadId","cgPlaId","startDateEarly","startDateLate","endDateEarly","endDateLate","note"
2011,2011000549,4628,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011000553,4629,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011000552,4629,"2011-07-18","2011-07-18","2011-07-25","2011-07-25",
2011,2011000550,4629,"2011-07-13","2011-07-13","2011-07-20","2011-07-24",
2011,2011000551,4629,"2011-07-18","2011-07-18","2011-07-25","2011-07-25",
2011,2011000555,4631,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011000554,4631,"2011-07-18","2011-07-18","2011-07-20","2011-07-24",
2011,2011000557,4633,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011000558,4633,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011000560,4633,"2011-07-19","2011-07-19","2011-07-25","2011-07-25",
2011,2011000562,4637,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011000561,4637,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011000565,3332,"2011-07-25","2011-07-25","2011-08-01","2011-08-04",
2011,2011000568,3336,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011000566,3336,"2011-07-13","2011-07-13","2011-07-20","2011-07-24",
2011,2011000570,3343,"2011-07-20","2011-07-24","2011-08-06","2011-08-10",
2011,2011000571,3347,"2011-07-18","2011-07-18","2011-07-25","2011-07-25",
2011,2011000572,3347,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011000573,3349,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
