cgPlaId,cgHdId,startDtEarly,startDtLate,endDtEarly,endDtLate,phenYear,phenNote
3451,2013000431,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
3500,2013001626,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-13 00:00:00","2013-08-13 00:00:00",2013,
3501,2013001627,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
3501,2013001628,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
3505,2013001629,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-06 00:00:00","2013-08-06 00:00:00",2013,
3505,2013001630,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-08 00:00:00","2013-08-08 00:00:00",2013,
3511,2013001631,"2013-08-14 00:00:00","2013-08-14 00:00:00","2013-08-25 00:00:00","2013-08-25 00:00:00",2013,found during measuring
3511,2013001632,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-08 00:00:00","2013-08-08 00:00:00",2013,
3525,2013001640,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
3527,2013001641,"2013-08-02 00:00:00","2013-08-02 00:00:00","2013-08-08 00:00:00","2013-08-08 00:00:00",2013,
3528,2013001642,"2013-07-15 00:00:00","2013-07-15 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
3528,2013001643,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-07-25 00:00:00","2013-07-25 00:00:00",2013,small hd;crisp;ld est  8/15/13
3528,2013001644,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
3534,2013001645,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
3550,2013001646,"2013-07-27 00:00:00","2013-07-27 00:00:00","2013-08-09 00:00:00","2013-08-09 00:00:00",2013,[pos update from 972 to 972.5 7Nov2013 gkk]
3583,2013001665,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
3599,2013001666,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
3599,2013001667,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-08 00:00:00","2013-08-08 00:00:00",2013,
3599,2013001668,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-08 00:00:00","2013-08-08 00:00:00",2013,
3634,2013001669,"2013-07-14 00:00:00","2013-07-14 00:00:00","2013-07-22 00:00:00","2013-07-22 00:00:00",2013,
3634,2013001670,"2013-07-14 00:00:00","2013-07-14 00:00:00","2013-07-23 00:00:00","2013-07-23 00:00:00",2013,
3634,2013002412,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-07-23 00:00:00","2013-07-23 00:00:00",2013,
3639,2013001671,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
3639,2013001672,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-04 00:00:00","2013-08-04 00:00:00",2013,
3639,2013001673,"2013-07-14 00:00:00","2013-07-14 00:00:00","2013-07-24 00:00:00","2013-07-24 00:00:00",2013,
3639,2013001674,"2013-07-14 00:00:00","2013-07-14 00:00:00","2013-07-24 00:00:00","2013-07-24 00:00:00",2013,
3640,2013001675,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-11 00:00:00","2013-08-11 00:00:00",2013,
3641,2013001676,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-04 00:00:00","2013-08-04 00:00:00",2013,
3641,2013001677,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
3641,2013002417,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-07-25 00:00:00","2013-07-25 00:00:00",2013,? not sure this is done;weird head
3644,2013001678,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-04 00:00:00","2013-08-04 00:00:00",2013,
3644,2013001679,"2013-08-04 00:00:00","2013-08-04 00:00:00","2013-08-19 00:00:00","2013-08-19 00:00:00",2013,
3648,2013001680,"2013-07-11 00:00:00","2013-07-11 00:00:00","2013-07-21 00:00:00","2013-07-21 00:00:00",2013,
3652,2013001681,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
3661,2013001682,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
3667,2013001683,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
3735,2013001710,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-06 00:00:00","2013-08-06 00:00:00",2013,
3735,2013001711,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-09 00:00:00","2013-08-09 00:00:00",2013,
3735,2013001712,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
3803,2013001713,"2013-07-30 00:00:00","2013-07-30 00:00:00","2013-08-20 00:00:00","2013-08-20 00:00:00",2013,
3803,2013001714,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
3807,2013001715,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
3809,2013001716,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
3814,2013001717,"2013-08-02 00:00:00","2013-08-02 00:00:00","2013-08-13 00:00:00","2013-08-13 00:00:00",2013,
3814,2013001718,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
3815,2013001719,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-08 00:00:00","2013-08-08 00:00:00",2013,
3957,2013001864,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-24 00:00:00","2013-07-24 00:00:00",2013,
3959,2013001865,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
3959,2013001866,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
3959,2013001867,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
4023,2013001941,"2013-07-28 00:00:00","2013-07-28 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,Indented;doesnt look like its going to flower more 8/15/13 ;ld est 8/15/13
4050,2013002005,"2013-08-01 00:00:00","2013-08-01 00:00:00","2013-08-20 00:00:00","2013-08-20 00:00:00",2013,
4050,2013002006,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-14 00:00:00","2013-08-14 00:00:00",2013,
4152,2013002152,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-11 00:00:00","2013-08-11 00:00:00",2013,
4154,2013002153,"2013-07-31 00:00:00","2013-07-31 00:00:00","2013-08-17 00:00:00","2013-08-17 00:00:00",2013,
4177,2013002154,"2013-07-30 00:00:00","2013-07-30 00:00:00","2013-08-13 00:00:00","2013-08-13 00:00:00",2013,
4177,2013002155,"2013-07-28 00:00:00","2013-07-28 00:00:00","2013-08-11 00:00:00","2013-08-11 00:00:00",2013,
4182,2013002156,"2013-07-28 00:00:00","2013-07-28 00:00:00","2013-08-17 00:00:00","2013-08-17 00:00:00",2013,
4197,2013002213,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-24 00:00:00","2013-07-24 00:00:00",2013,
4209,2013002214,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
4239,2013002263,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
4242,2013002264,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
4242,2013002265,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
4242,2013002266,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-04 00:00:00","2013-08-04 00:00:00",2013,
4253,2013002267,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-04 00:00:00","2013-08-04 00:00:00",2013,
4253,2013002268,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
4290,2013001735,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
4291,2013001736,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
4305,2013001737,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
4317,2013001776,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
4317,2013001777,"2013-07-27 00:00:00","2013-07-27 00:00:00","2013-08-15 00:00:00","2013-08-15 00:00:00",2013,
4319,2013001778,"2013-07-25 00:00:00","2013-07-25 00:00:00","2013-08-09 00:00:00","2013-08-09 00:00:00",2013,
4320,2013001779,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-04 00:00:00","2013-08-04 00:00:00",2013,
